,roles,companies,locations,experience,skills
302,Senior Data Scientist,EPIFI TECHNOLOGIES PRIVATE LIMITED,Bengaluru,5-8 Yrs,"Academics
Scalability
Data Scientist
regression
Data Structures
SCALA
Data Analysis
Data Mining"
303,Senior Data Scientist,Baker Hughes Incorporated,Bengaluru,3-8 Yrs,"Computer science
Data analysis
SAS
Coding
Agile
Perl
Ruby
Distribution system"
304,Senior Data Scientist,The Data Team,"Chennai, Bengaluru",10-12 Yrs,"Computer science
Data analysis
Linux
data science
Business analysis
Machine learning
SCALA
test driven development"
305,Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-10 Yrs,"Data Science
R
SAS
Statistical Modeling
Machine Learning
Python"
306,Senior Data Scientist,CAPITALCLOUD INDIA PRIVATE LIMITED,Bengaluru,4-9 Yrs,"Natural Language Processing
Machine Learning
Deep Learning
Nltk
Tensorflow
NLP
Exploratory Data Analysis
Scikit-Learn"
307,Sr. Data Scientist / Machine learning Expert,Bidgely Technologies Private Limited,Bengaluru,4-6 Yrs,"Product management
Computer science
Data analysis
Statistical analysis
Analytical
Machine learning
Intellectual property
Data mining"
308,Senior Data Scientist,Danske IT & Support Services India Pvt Ltd,Bengaluru,5-9 Yrs,"python
r
SAS
DB2
Tableau
Statistics
SQL"
309,Senior Data Scientist,Glass Cube consulting private limited,Bengaluru,5-10 Yrs,"Computer science
Bfsi
Consulting
Machine learning
Asset management
Outsourcing
Business intelligence
Data mining"
310,Senior Data Scientist,Turings (formerly Tuple),"Delhi NCR, Bengaluru",6-11 Yrs,"deep learning
algorithms
python
tensorflow
Multithreading
data science
Scalability
pytorch"
311,Sr Data Scientist,Walmart Labs,Bengaluru,5-9 Yrs,"NoSQL
Web analytics
cassandra
Analytical
Machine learning
SEO
Data mining
Forecasting"
312,Sr. Data Scientist,EagleView,Bengaluru,5-9 Yrs,"Training
Computer vision
deep learning
Neural networks
Opencv
Machine learning
Cloud
Python"
313,Senior Data Scientist,ExecBoardinAsia,Bengaluru,5-10 Yrs,"data cleansing
Project development
operational support
data science
Machine learning
Manager Technology
Data quality
Data analytics"
314,Senior Data Scientist,GlaxoSmithKline Pharmaceuticals Limited,Bengaluru,5-9 Yrs,"Procurement
Business process
Claims
Prototype
Pharma
Machine learning
Healthcare
Information management"
315,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Data analysis
data science
Analytical
Machine learning
HTML
Data mining
Analytics
Financial services"
316,Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,7-9 Yrs,"SAS
data science
Consulting
Presales
model development
SPSS
big data
Business Executive"
317,Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,7-9 Yrs,"SAS
data science
Consulting
Presales
Stores
SPSS
big data
Business Executive"
318,Data Scientist,Lymbyc,Bengaluru,3-5 Yrs,"Computer science
Computer vision
Operations research
google api
Machine learning
SCALA
Natural language processing
Data mining"
319,Research Data Scientist,Analytics Quotient,Bengaluru,4-9 Yrs,"Computer science
Cluster analysis
Prototype
Neural networks
Analytical
Machine learning
Mathematics
Research"
320,Data Scientist / Sr. Data Scientist,PIRAMAL ENTERPRISES LTD,Vadodara,4-8 Yrs,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
321,Data Scientist,Spectrum Talent Management,Bengaluru,3-7 Yrs,"IT services
Business objects
MS SQL
RDBMS
MySQL
SSRS
Data structures
Oracle"
322,Senior and Chief Data Scientist - - Analytics Vidhya,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,15-18 Yrs,"C++
Business objects
SAS
Cognos
HTML
Perl
Teradata
Open source"
323,Sr Data Scientist - TOP US MNC - Bangalore,DelegateIT India LLP,Bengaluru,10-15 Yrs,"Predictive Modeling
Cnn
NLP
Data Science
Exploratory Data Analysis
Operations Research
Text Mining
Machine Learning"
324,Senior Data Scientist,ExecBoardinAsia,Bengaluru,5-10 Yrs,"Deployment
Project planning
Monitoring"
325,Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-6 Yrs,"Computer science
Automation
Data analysis
Analytical
Machine learning
HTML
Data quality
Analytics"
326,ML Engineer/Statistician/Data Scientist Pre - IPO Unicorn,CareerXperts Consulting,Bengaluru,3-5 Yrs,"Computer science
Analytical skills
Consulting
Machine learning
Data structures
Mathematics
Open source
big data"
327,Senior Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-10 Yrs,Artificial Intelligence
328,Senior Data Scientist,GO-JEK,Bengaluru,5-10 Yrs,"deep learning
data science
spark
Diversity and Inclusion
Data collection
Manager Technology
Mathematics
Monitoring"
329,Sr. Consultant - Data Scientist - Bengaluru - Analytics Vidhya,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,14-16 Yrs,"Computer science
Text mining
deep learning
big data analytics
Artificial Intelligence
Consulting
Machine learning
HTML"
330,Sr. Data Scientist,Pegasus Knowledge Solutions India Private Limited,Bengaluru,5-10 Yrs,"Process design
Outbound
SAS
Analytical
Machine learning
Anova
SPSS
Data mining"
331,Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Computer science
Coding
Machine learning
HTML
Data mining
Analytics
SQL
Android"
332,Senior Data Scientist,Tenzai,Bengaluru,6-8 Yrs,"customer segmentation
Computer vision
Machine learning
Data analytics
Data mining
Econometrics
big data
Forecasting"
333,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,4-5 Yrs,"data science
Machine learning
Deployment
Author
HTML
Data mining
Analytics
Android"
334,Senior Data Scientist,Walmart Labs,Bengaluru,5-9 Yrs,"data science
big data analytics
Analytical
Technical Lead
Data mining
Teradata
big data
Forecasting"
335,Data Scientist,Scienaptic Systems,Bengaluru,3-5 Yrs,"CVS
deep learning
Social media analytics
Automation
Business analytics
Machine learning
Hypothesis Testing
Data mining"
336,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,5-10 Yrs,"Microstrategy
Web analytics
Database design
HTML
Perl
Business intelligence
Data mining
SQL"
337,Senior and Chief Data Scientists,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,5-10 Yrs,"C++
Business objects
SAS
Cognos
HTML
Perl
Teradata
Open source"
338,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,5-10 Yrs,"Author
HTML
Analytics
Android
Python"
339,Lead Data Scientist,DataTrained,"Bengaluru, Noida",2-4 Yrs,"Computer science
SAN
French
Data modeling
Analytical
Machine learning
Predictive modeling
Analytics"
340,BI Developer / Data Scientist,The Hiring Xpert,Vadodara,1-2 Yrs,"M-query
Business Intelligence
ZAP BI
Power Bi
SSRS
OLAP
dax
ETL"
341,Data Analyst / Data Scientist - C++/c#/java,Confidential,Hyderabad,5-7 Yrs,"C#
Java
architecting
C++
software development
Data Scientist
Hadoop
Data Analysis"
342,Lead Data Scientist and Cognitive Software Engineer,Gladwin Analytics,"Bengaluru, Hyderabad",5-10 Yrs,"Computer science
C++
Prototype
Linux
MySQL
Machine learning
Oracle
Analytics"
343,BDB Data Scientist,BizViz Technologies Pvt. Ltd.,"Bengaluru, Hyderabad",3-8 Yrs,"algorithms
ERP
Data analysis
development
SAS
technical
software
developing"
344,Data Scientist,Big Data BizViz (BizViz Technologies Pvt. Ltd),"Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
345,Data Scientist,"ANMUTSOLUTIONS Pvt,Ltd.","Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
346,Data Scientist,BizViz Technologies Pvt. Ltd.,"Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
Team Building
SAS
Simulation
Analytical
Social media
Healthcare"
347,BDB Data Scientist,"ANMUTSOLUTIONS Pvt,Ltd.","Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
Team Building
SAS
Simulation
Analytical
Social media
Healthcare"
348,Lead AI/ ML Data Scientist - Social Networks - Work From Home,Sutra Tech Labs Private Limited,"Delhi NCR, Bengaluru, Hyderabad",2-6 Yrs,"Artificial Intelligence
Scala
neural networks
DataFactory
Tableau
Machine Learning
Apache Spark
SageMaker"
349,Data Scientist,AVE-Promagne,Gurgaon,3-5 Yrs,"python
data science
Data Scientist
machine learning"
350,Business Analyst - Data Scientist,Hyrefox,Gurgaon,3-5 Yrs,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
351,Analyst - Data Scientist,Hyrefox,Gurgaon,1-3 Yrs,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
352,Data Scientist,Bprise,Mumbai,3-7 Yrs,"Data analysis
data science
Neural networks
Analytical
Machine learning
Data collection
Data mining
big data"
353,Senior Data Scientist,JoinHandsHR,Mumbai,3-8 Yrs,"Data Scientist
Data Analyst"
354,Data Scientist,NEEMTREE INTERNET PVT LTD,Mumbai,2-5 Yrs,"Supply chain
Computer science
C++
MySQL
Machine learning
Javascript
Data structures
Data mining"
355,Senior Data Scientist,Morningstar India (P) Ltd.,Mumbai,5-10 Yrs,"rest
algorithms
python
Prototype
Fixed income
MATLAB
sql
Computer science"
356,Data Scientist - Phd only,NDS Infoserv,Mumbai,0-2 Yrs,"Data Science
NLP
Machine Learning"
357,Senior Executive - MIS ( Data Scientist ),Analytics Vidhya Educon Pvt. Ltd,Mumbai,3-8 Yrs,"data science
RDBMS
MIS
HTML
Data mining
Macros
Analytics
SQL"
358,Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-7 Yrs,"interfaces
oracle
workflow
functions
configuration
mysql
data integration
sql server"
359,Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-6 Yrs,"interfaces
oracle
workflow
functions
configuration
mysql
data integration
sql server"
360,Data Scientist,BlazeClan Technologies Pvt. Ltd,Pune,8-13 Yrs,"rest
algorithms
python
project management
SAS
Data mining
Forecasting
Computer science"
361,Data Scientist - Analytics/machine Learning,Recrumart,Bengaluru,5-8 Yrs,"Data Science
Predictive Modeling
R
Azure
Power BI
Data Mining
Data Analytics
Machine Learning"
362,Chief Data Scientist - Machine Learning/ Python,Catalyst,Bengaluru,7-12 Yrs,"Data Science
R
Data Scientist
Hadoop
Statistical Modeling
Spark
Machine Learning
Algorithm"
363,Head - Data Scientist - Machine Learning,e-Hireo Global Pvt Ltd,Bengaluru,8-10 Yrs,"Data Science
R
Data Scientist
Data Management
Machine Learning
Algorithm
Analytics
Python"
364,Chief Data Scientist - Machine Learning/ Python,Catalyst,Bengaluru,9-14 Yrs,"Data Science
R
Algorithms
Data Structures
Computer Science
Hadoop
Spark
Machine Learning"
365,Lead Data Scientist - Deep Learning/machine Learning,Okda Solutions,Bengaluru,2-7 Yrs,"R
OpenCV
Data Scientist
Data Management
Time Series Forecasting
Distributed Systems
Machine Learning
Deep Learning"
366,Data Scientist - Machine Learning/deep Learning,SKS Enterpprises,Bengaluru,6-10 Yrs,"Data Science
R
Data Scientist
Neural Networks
Data Mining
Data Analytics
Machine Learning
Algorithm"
367,Chief Data Scientist - Machine Learning/python,Catalyst,Bengaluru,7-12 Yrs,"Data Science
R
Algorithms
Data Structures
Hadoop
Spark
Demand Forecasting
Machine Learning"
368,Sr. Data Scientist,Crayon Data,Chennai,8-13 Yrs,"GIS
Computer science
Operations research
Prototype
NoSQL
data science
Social science
Project management"
369,Lead - Data Scientist,BigTapp India Pvt Ltd,Chennai,5-8 Yrs,"Tensorflow
Data Modelling
Use Cases
Neural Networks
Tableau
Machine Learning
SQL
Data Science"
370,Full Stack Data Scientist,IHS India,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
371,Full Stack Data Scientist,IHS India,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
372,Junior Data Scientist,BangBit Technologies,Bengaluru,1-4 Yrs,"Computer science
Time management
SSRS
Machine learning
Programming
Data structures
SSIS
Troubleshooting"
373,Data Scientist,Efftronics Systems Pvt Ltd,Vijayawada,5-10 Yrs,"Data analysis
C++
Data collection
Agile
Service
Predictive modeling
Graphputer science
Data mining"
374,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Hyderabad,8-13 Yrs,"Logistic regression
Data analysis
Data management
Analytical
Consulting
HTML
Data mining
Analytics"
375,Senior Data Scientist - Mathematical Finance,Franklin Templeton International,Hyderabad,4-6 Yrs,"Data analysis
data science
Wealth management
Analytical
Machine learning
HTTP
Medical insurance
Data mining"
376,Sr. Data Scientist,SOULPAGE IT SOLUTIONS PRIVATE LIMITED,Hyderabad,5-8 Yrs,"Data Science
NLP
Big Data
AL / ML
Machine Learning
Deep Learning
Python"
377,Sr . Data Scientist,Claim Genius India Pvt. Ltd.,"Nagpur, Hyderabad",7-8 Yrs,"Computer vision
Claims
Coding
Neural networks
Machine learning
Algorithm development
Data structures
Open source"
378,Senior Data Scientist,tcpwave,Hyderabad,7-12 Yrs,"Computer science
Operations research
data science
Machine learning
DNS
Predictive modeling
DHCP
SQL"
379,Senior Data Scientist,My Ally,Hyderabad,5-10 Yrs,"Computer science
Prototype
Coding
Django
Analytical
Artificial Intelligence
Web development
Machine learning"
380,Senior Data Scientist,My Ally,Hyderabad,5-10 Yrs,"Computer science
Prototype
Coding
Django
Analytical
Artificial Intelligence
Web development
Machine learning"
381,Senior Data Scientist,Cubic Transportation Systems India Pvt. Ltd.,Hyderabad,6-8 Yrs,"Data analysis
SAP
Networking
Data modeling
Enterprise applications
Oracle
Information technology
SQL"
382,Senior Data Scientist,Karvy Analytics,Hyderabad,5-10 Yrs,"rest
development
code
Image processing
big data analytics
level
testing
System design"
383,Data Scientist,Madhees,Hyderabad,5-10 Yrs,"Process design
Logistic regression
Data analysis
NPV
Predictive modeling
Business solutions
Statistics
Monitoring"
384,Senior Data Scientist - Natural Language Processing,TNS holdings,Hyderabad,3-8 Yrs,"Text mining
Logistic regression
metadata
data science
Neural networks
Machine learning
Agile
Natural language processing"
385,Hiring For Data Scientists 4-8 Years Experience,Hyper Thread Solutions Pvt. Ltd.,Hyderabad,4-8 Yrs,"Tensorflow
Nltk
Data Science
NLP
Classification
Data Mining
Data Extraction
Machine Learning"
386,Full Stack Data Scientist,Markit India Services Private Limited,"Gurgaon, haryana",3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
387,DATA SCIENTIST (Analytics Technology),Melstar Information Technologies Ltd,"Bengaluru, Gurgaon",7-12 Yrs,"C++
SAS
technical
it
Data mining
Analytics
SQL
Computer science"
388,Data Scientist - Machine Learning/artificial Intelligence,The Hiring Story,Mumbai,4-8 Yrs,"Visualization
eCommerce
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm"
389,Data Scientist - R/python/machine Learning,The Skill Labs,Mumbai,2-5 Yrs,"Java
R
NoSQL
Data Scientist
SQLite
Data Management
Machine Learning
Python"
390,Senior Data Scientist,Aera Technology,Pune,5-10 Yrs,"algorithms
SAN
python
Data analysis
software development
Business operations
Computer science
operations"
391,Sr. Data Scientist,Jet2 Travel Technologies Pvt. Ltd.,Pune,5-10 Yrs,"Data Science
Storyboarding
SQL Server
Machine Learning
Python"
392,Sr. DATA SCIENTIST,defour analytics,Pune,3-8 Yrs,"Automation
Project management
Pharma
Analytical
Tools
data visualization
Data mining
Automotive"
393,Senior Data Scientist,ExecBoardinAsia,Pune,5-10 Yrs,"Data analysis
Process optimization
Data mining
Testing"
394,Senior Data Scientist,lgoAnalytics,Pune,3-4 Yrs,"data science
Bfsi
Senior
Machine learning
Writing
Service
Time
Statistics"
395,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,5-10 Yrs,"Computer science
Qualitative research
Data analysis
Machine learning
HTML
Predictive modeling
SPSS
Multivariate analysis"
396,Sr . Data Scientist,Slack,Pune,6-11 Yrs,"SAN
Academic Research
Consulting
Business intelligence
Operations
Analytics
Quantitative analysis
SQL"
397,Sr. Data Scientist,Slack,Pune,5-10 Yrs,"Computer science
SAN
Data analysis
data science
Machine learning
Research
Econometrics
Forecasting"
398,Senior Data Scientist,ExecBoardinAsia,Pune,5-10 Yrs,"Data analysis
Statistical analysis
data science
Machine learning
Management
Research
Monitoring"
399,Senior Associate Data Scientist,Medline Industries India Private Limited,Pune,2-4 Yrs,"Data Science
R
NLP
Statistical Modeling
Information Retrieval
Machine Learning
Deep Learning
Predictive Analytics"
400,data scientist (internship),BugendaiTech,Pune,0-1 Yrs,Internship
401,Data Scientist - Fintech Credit Analytics Product Startup (bangalore),The Recruiters,Bengaluru,5-8 Yrs,"Algorithms
NLP
Data Scientist
Artificial Intelligence
Regression
Neural Networks
AI
Data Mining"
402,Chief Data Scientist (Fraud Risk Management),PERFECT PEOPLE SEARCH,Bengaluru,7-10 Yrs,"Risk Assessment
Artificial Intelligence
Operational Risk Management
Natural Language Processing
Machine Learning
Risk Management
Deep Learning
Fraud Analytics"
403,Lead Data Scientist,Walmart Labs,Bengaluru,6-10 Yrs,"Unix
deep learning
Linux
data science
Machine learning
SCALA
Agile
Online advertising"
404,Snr Data Scientist - NBFC,Angel & Genie,Bengaluru,5-10 Yrs,"Data analysis
GIT
Analytical
Machine learning
Business intelligence
Analytics
Financial services
SQL"
405,Data Scientist / Lead Data Scientist,Indium Software (India) Limited,"Chennai, Bengaluru",3-8 Yrs,"python
CNN
data analytics
linear statistics
regression analysis
segmentation analysis
Machine Learning
data analyst"
406,Data Scientist,Tookitaki,Bengaluru,3-5 Yrs,"Operational risk
data science
Analytical
Artificial Intelligence
Machine learning
SCALA
big data
Forecasting"
407,Data Scientist,QubeRoot Analytics,Bengaluru,3-8 Yrs,"Computer science
Business objects
Data analysis
Simulation
Bfsi
MySQL
Healthcare
Data mining"
408,Lead Data Scientist,QubeRoot Analytics,Bengaluru,5-8 Yrs,"algorithms
Data analysis
Bfsi
testing
developing
Data mining
tools
SQL"
409,Data Scientists,Bloom Consulting Services,Bengaluru,2-5 Yrs,"Computer science
Risk analytics
Online marketing
Machine learning
Risk management
Operations
Financial services
SQL"
410,Data Scientist,Bloom Consulting Services,Bengaluru,2-5 Yrs,"rest
algorithms
python
Risk analytics
testing
Financial services
sql
Data architecture"
411,Data Scientist,The Data Team,Chennai,10-20 Yrs,"IT Skills
Java
Python
Angularjs
Javascript
Big Data
Azure
freelance"
412,Data Scientist,New Era India,Bengaluru,17-23 Yrs,"Java
Data Scientist
OOPS
Data Management
Big Data
Data Mining
PhD
Algorithm"
413,Data Scientist,Yoodle,Bengaluru,1-5 Yrs,"Computer science
Manager Quality Assurance
Neural networks
Machine learning
Data processing
Natural language processing
Predictive modeling
MATLAB"
414,Data Scientist,CAPITALCLOUD INDIA PRIVATE LIMITED,Bengaluru,2-4 Yrs,"Anomaly Detection
Predictive Modeling
bigdata
Text Analytics
Hadoop
Data Analysis
Data Mining
Spark"
415,Data Scientist,Dasceq,Bengaluru,3-5 Yrs,"Computer science
SAN
Data analysis
French
Networking
Coding
Predictive modeling
MS Office"
416,Data Scientist,Shiras Consulting Pvt. Ltd.,Bengaluru,5-10 Yrs,"Text mining
Logistic regression
customer segmentation
Data analysis
data science
Neural networks
Network analysis
Machine learning"
417,Data scientist,Prolim Infosystems Pvt Ltd.,Bengaluru,8-11 Yrs,"Engineering services
Data analysis
ERP
SAS
Staffing
Project management
Social media
Consulting"
418,Machine Learning Engineer/Data Scientist,Autodesk India Pvt Ltd,Bengaluru,3-8 Yrs,"Computer science
Automation
Performance management
Machine learning
Instrumentation
Business intelligence
Resource management
Distribution system"
419,Data Scientist - AI ML Team,CustomerXPs Software Pvt Ltd,Bengaluru,8-13 Yrs,"Computer science
Automation
Artificial Intelligence
Machine learning
Data collection
Risk management
Monitoring
SQL"
420,Data Scientist,Novitas Infotech,Bengaluru,5-10 Yrs,"Data Science
R
Presto
Hadoop
Customer Analytics
Data Mining
Tableau
Night Shift"
421,Data Scientist,Zyoin Web Pvt.Ltd,Bengaluru,2-6 Yrs,"Cluster analysis
Demand forecasting
Machine learning
big data
Statistics
Python"
422,Data Scientist,Meesho,Bengaluru,1-3 Yrs,"Computer science
Neural networks
spark
Machine learning
Hadoop
E-commerce
big data
SQL"
423,Data Scientist,Alphonso Inc.,Bengaluru,2-7 Yrs,"Computer science
deep learning
Usage
Statistical modeling
Machine learning
Programming
Manager Technology
big data"
424,Data Scientist,Tenzai,Bengaluru,3-8 Yrs,"Statistical modeling
Prototype
Analytical
Machine learning
data visualization
big data
MATLAB
Analytics"
425,Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,2-8 Yrs,"Logistic regression
SAS
data science
Machine learning
Data mining
Statistics
AWS
Analytics"
426,Data Scientist (ML/NLP),Ultria,Bengaluru,3-7 Yrs,"ERP
Master data management
Artificial Intelligence
Machine learning
SCALA
data governance
Natural language processing
data integrity"
427,Lead Data Scientist,Snaphunt,Bengaluru,8-13 Yrs,"Data Science
Pyspark
R
Artificial Intelligence
Time Series
Data Mining
Machine Learning
Deep Learning"
428,Data Scientist,HR Devi and Associates,Bengaluru,6-10 Yrs,"algorithms
python
c
Artificial Intelligence
Data processing
Data mining
MATLAB
sql"
429,Data Scientists and Programmer,Zdaly,Bengaluru,2-5 Yrs,"SAN
Health insurance
tableau
Data modeling
cassandra
Script writing
big data analytics
Machine learning"
430,Data Scientist,Miles,Bengaluru,2-7 Yrs,"Geometry
Version control
GIT
data science
Postgresql
Machine learning
Database
Scheduling"
431,Data Scientist,"NUMERIFY, INC.",Bengaluru,2-7 Yrs,"Computer science
data science
Coding
Machine learning
Tools
Customer service
Data mining
Open source"
432,Data Scientist,XZED SKILLS PRIVATE LIMITED,"Bengaluru, Kochi",3-6 Yrs,"hive
Data Science
python
R
data modeling
SAS
spark
hdfs"
433,Data Scientist (Full time),Vicit Infot Tech,Bengaluru,2-7 Yrs,"data science
Machine learning
Linguistics
Tools
Time
Natural language processing
Open source"
434,Manager Data Scientist,3D-IP Semiconductors,Bengaluru,10-12 Yrs,"Computer vision
Technology management
Machine learning
Programming
Manager Technology
PHP
Management
MATLAB"
435,Data Scientist,Catalyst,Bengaluru,3-7 Yrs,"Data scientist
Data Science
Deep learning
data crunching
Predictive
Python / Spark
Data
data visualization"
436,Data Scientist,Aarch Solutions,Bengaluru,8-13 Yrs,"Unix
Supply chain
Computer science
C++
Linux
Machine learning
SPSS
Data mining"
437,Staff Data Scientist,Zendrive Inc,Bengaluru,4-7 Yrs,"Computer science
Interpersonal skills
data science
Machine learning
Signal processing
HTTP
Continuous improvement
Analytics"
438,Associate Data Scientist,Augmance AI Labs Private Limited,Bengaluru,1-6 Yrs,"Nltk
Data Science
r
NLP
Artificial Intelligence
Keras
Marketing Analytics
Machine Learning"
439,Product development Data Scientist ML,CareerXperts Consulting,Bengaluru,4-7 Yrs,"Unix
GIT
Analytical
Machine learning
Debugging
Programming
Product design
high performance computing"
440,Product development Data Scientist ML,CareerXperts Consulting,Bengaluru,4-7 Yrs,"Unix
GIT
Analytical
Machine learning
Debugging
Programming
Product design
high performance computing"
441,Principal Software Engineer -data Scientist-from Pedigree Only,Peoplefy Infosolutions Pvt. Ltd.,Bengaluru,7-12 Yrs,"Data Science
r
ggplot
Data Scientist
data mining
Data Visualization
Tableau
Machine Learning"
442,Data Scientist,CoStrategix Technologies Pvt. Ltd.,Bengaluru,3-7 Yrs,"Statistical analysis
MySQL
Consulting
Machine learning
Hypothesis Testing
Data structures
Natural language processing
Statistics"
443,Data Scientist,Snaphunt,Bengaluru,3-8 Yrs,"C++
C
Tableau
Data Analytics
Machine Learning
Statistical Analysis
Statistics
Deep Learning"
444,Data Scientist,IQLECT,Bengaluru,5-8 Yrs,"Computer science
algorithms
python
RF
testing
Machine learning
Tools
Regression"
445,Hiring For FREELANCE DATA SCIENTIST - BANGALORE,Atyati Technologies Pvt. Ltd.,Bengaluru,4-8 Yrs,"IT Skills
Python
Data Science
Machine Learning
Big Data
Tableau
Azure
freelance"
446,Data Scientist,RANG INFOSOFT PVT. LTD.,Bengaluru,4-6 Yrs,"Computer science
Web analytics
Machine learning
Tools
Time
Perl
Data mining
Open source"
447,Data Scientist,HR Devi and Associates,Bengaluru,5-7 Yrs,"Data scientist
GAM
DATA ANALYTICS
Linear Regression
GLM
Decission trees"
448,Lead Data Scientist,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
449,Data Scientist,Narayana Hrudayalaya Ltd,Bengaluru,2-7 Yrs,"Change Management
NLP
Algorithms
Business Analytics
Image Processing
Data Scientist
data research
Neural Networks"
450,Data Scientist - Delivery,Uniphore,Bengaluru,4-6 Yrs,"Telecom
SAS
Bfsi
Consulting
Data processing
Customer service
Data mining
Forecasting"
451,Data Scientist,Busigence Technologies,Bengaluru,2-5 Yrs,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management"
452,"Data Scientist, Advanced",iXplore Technologies,Bengaluru,8-10 Yrs,"Graphics
Post production
Product engineering
data science
Enterprise Architect
System integration
Machine learning
Business intelligence"
453,Data Scientist,"Processware Systems,",Bengaluru,3-7 Yrs,"Computer science
data science
SSRS
Machine learning
Data collection
Programming
microsoft
Data mining"
454,Data Scientist,WeRecruit Talent,Bengaluru,2-5 Yrs,"Computer science
Machine learning
Hadoop
Packaging
Programming
Mathematics
Research
Data mining"
455,Data Scientist Machine Learning,NeenOpal Intelligent Solutions Pvt. Ltd.,Bengaluru,2-5 Yrs,"Usage
Machine learning"
456,Data Scientist / Advanced Analytics - Machine Learning,E2E Infoware Management Services Pvt Ltd,"Chennai, Bengaluru",1-5 Yrs,"advanced analytics
deep learning
Artificial Intelligence
R Programming
Machine learning
Python"
457,Data Scientist,BHARAT LIGHT AND POWER PRIVATE LIMITED,Bengaluru,2-5 Yrs,"Data analysis
Factor analysis
Linux
Machine learning
Hypothesis Testing
Data processing
big data
SQL"
458,Full Stack Data Scientist,Markit India Services Private Limited,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
459,Associate Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-3 Yrs,"Computer science
C++
Data analysis
Analytical
Machine learning
HTML
Data mining
Analytics"
460,Data Scientist,Near Pte. Ltd.,Bengaluru,6-9 Yrs,"Telecom
Publishing
data science
spark
Analytical
Intellectual property
Data quality
Research"
461,Lead Data Scientist,Brillio Technologies Pvt. Ltd,Bengaluru,5-8 Yrs,"deep learning
Data analysis
SAS
Simulation
Time series analysis
Network analysis
Machine learning
Subject Matter Expert"
462,Data Scientist,BrainToSoul Consulting,Bengaluru,3-6 Yrs,"IT services
Usage
Algorithms
Support
level
Analytical
Hadoop
it"
463,Data Scientist,BrainToSoul Consulting,Bengaluru,5-10 Yrs,"Computer science
hive
Usage
NoSQL
data science
query
MongoDB
Data mining"
464,Principal Data Scientist,"Continues Intelligence Lab Pvt.Ltd,",Bengaluru,10-15 Yrs,"algorithms
test
sas
frameworks
level
prototyping
CouchDB
PostgreSQL"
465,Data Scientist,O9 SOLUTIONS MANAGEMENT INDIA PRIVATE LIMITED,Bengaluru,3-5 Yrs,"Pytorch
Tensorflow
Anomaly Detection
Data Science
R
Supply Chain Planning
Demand Planning
Keras"
466,Data Scientist,Germane Analytics Pvt Ltd,Bengaluru,8-13 Yrs,"C++
Algorithms
Simulation
Coding
MySQL
Machine learning
Javascript
Business Objects"
